Scenario,Month,New_Revenue,Total_Revenue,Variable_OpEx,Fixed_OpEx,EBITDA
base,1,40000.0,40000.0,75000,861000,-896000.0
base,2,40000.0,79200.0,75000,861000,-856800.0
base,3,40000.0,117616.0,75000,861000,-818384.0
base,4,40000.0,155263.68,75000,861000,-780736.3200000001
base,5,40000.0,192158.40639999998,75000,861000,-743841.5936
base,6,40000.0,228315.238272,75000,861000,-707684.761728
base,7,40000.0,263748.93350656,75000,861000,-672251.06649344
base,8,40000.0,298473.95483642875,75000,861000,-637526.0451635713
base,9,40000.0,332504.4757397002,75000,861000,-603495.5242602997
base,10,40000.0,365854.3862249062,75000,861000,-570145.6137750938
base,11,40000.0,398537.29850040807,75000,861000,-537462.7014995919
base,12,40000.0,430566.5525303999,75000,861000,-505433.4474696001
bull,1,48000.0,48000.0,75000,861000,-888000.0
bull,2,48000.0,95040.0,75000,861000,-840960.0
bull,3,48000.0,141139.2,75000,861000,-794860.8
bull,4,48000.0,186316.416,75000,861000,-749683.584
bull,5,48000.0,230590.08768,75000,861000,-705409.91232
bull,6,48000.0,273978.2859264,75000,861000,-662021.7140736
bull,7,48000.0,316498.720207872,75000,861000,-619501.279792128
bull,8,48000.0,358168.74580371456,75000,861000,-577831.2541962855
bull,9,48000.0,399005.3708876403,75000,861000,-536994.6291123597
bull,10,48000.0,439025.2634698875,75000,861000,-496974.7365301125
bull,11,48000.0,478244.75820048974,75000,861000,-457755.24179951026
bull,12,48000.0,516679.8630364799,75000,861000,-419320.1369635201
bear,1,32000.0,32000.0,75000,861000,-904000.0
bear,2,32000.0,63360.0,75000,861000,-872640.0
bear,3,32000.0,94092.79999999999,75000,861000,-841907.2
bear,4,32000.0,124210.94399999999,75000,861000,-811789.056
bear,5,32000.0,153726.72512,75000,861000,-782273.27488
bear,6,32000.0,182652.1906176,75000,861000,-753347.8093824
bear,7,32000.0,210999.146805248,75000,861000,-725000.853194752
bear,8,32000.0,238779.16386914303,75000,861000,-697220.836130857
bear,9,32000.0,266003.58059176017,75000,861000,-669996.4194082399
bear,10,32000.0,292683.50897992495,75000,861000,-643316.491020075
bear,11,32000.0,318829.83880032646,75000,861000,-617170.1611996735
bear,12,32000.0,344453.24202431994,75000,861000,-591546.75797568
